k_base,mag2,is_kmax,is_kfp,in_noise_win,thr
1.337500000000000000e+01,4.262048972066732010e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.350000000000000000e+01,5.233995457513649383e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.362500000000000000e+01,6.199939192464357779e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.375000000000000000e+01,7.103455924914562096e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.387500000000000000e+01,7.896629668135496860e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.400000000000000000e+01,8.543231071338528273e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.412500000000000000e+01,9.018396561438641050e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.425000000000000000e+01,9.306034166318973109e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.437500000000000000e+01,9.395622713200931972e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.450000000000000000e+01,9.279859705599503199e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.462500000000000000e+01,8.954049433275520391e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.475000000000000000e+01,8.417519345171552950e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.487500000000000000e+01,7.676857838086867847e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.500000000000000000e+01,6.750347433330311162e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.512500000000000000e+01,5.672537260892313000e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.525000000000000000e+01,4.497479805410314153e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.537500000000000000e+01,3.298946490354528604e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.550000000000000000e+01,2.166217410044231166e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.562500000000000000e+01,1.194978731108428121e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.575000000000000000e+01,4.743242313837974175e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.587500000000000000e+01,7.237972364754491110e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.600000000000000000e+01,2.401829247512341460e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.612500000000000000e+01,3.240071685921790169e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
