time_us,I,Q
2.287500000000000089e+00,-7.163420224188466932e-06,9.463946875221416138e-06
2.293749999999999734e+00,-1.727100921381529268e-05,1.039128684892104423e-06
2.299999999999999822e+00,-1.639048383070012951e-06,1.495518130171634446e-05
2.306250000000000355e+00,9.445038992136931538e-07,1.413615894337216436e-05
2.312500000000000000e+00,-4.190808212377732122e-06,6.621307952001813152e-06
2.318750000000000089e+00,-7.524538650069770036e-06,1.529590218109170627e-05
2.325000000000000178e+00,1.422594978156974833e-06,-1.455477181382053871e-05
2.331249999999999822e+00,-1.446311996913890703e-05,3.034639416075721240e-05
2.337499999999999911e+00,-6.282144304285146176e-06,2.401016936822192343e-05
2.343750000000000000e+00,-1.440071547598948647e-06,1.685761451780407504e-06
