freq_offset_mhz,psd_dbfs_per_hz
-6.609375000000000000e+01,-1.726323979243703093e+02
-6.605468750000000000e+01,-1.726992709878571759e+02
-6.601562500000000000e+01,-1.726978442514016194e+02
-6.597656250000000000e+01,-1.726434365580596477e+02
-6.593750000000000000e+01,-1.725861951809957873e+02
-6.589843750000000000e+01,-1.725704695269198510e+02
-6.585937500000000000e+01,-1.726121461630380622e+02
-6.582031250000000000e+01,-1.726489030671410205e+02
-6.578125000000000000e+01,-1.726521888818001287e+02
-6.574218750000000000e+01,-1.726755523153719309e+02
-6.570312500000000000e+01,-1.727284292949738358e+02
-6.566406250000000000e+01,-1.727467405327402616e+02
-6.562500000000000000e+01,-1.726971394044294073e+02
-6.558593750000000000e+01,-1.726130643046624300e+02
-6.554687500000000000e+01,-1.725566329533168073e+02
-6.550781250000000000e+01,-1.725572996162587174e+02
-6.546875000000000000e+01,-1.725586298141968200e+02
-6.542968750000000000e+01,-1.725468188407330103e+02
-6.539062500000000000e+01,-1.726073740573863233e+02
-6.535156250000000000e+01,-1.727248229673153617e+02
-6.531250000000000000e+01,-1.727891135536464731e+02
-6.527343750000000000e+01,-1.728063315480996209e+02
-6.523437500000000000e+01,-1.728609771737127403e+02
-6.519531250000000000e+01,-1.729515621453556662e+02
-6.515625000000000000e+01,-1.730134248630571392e+02
-6.511718750000000000e+01,-1.730004404807885692e+02
-6.507812500000000000e+01,-1.728926352550061267e+02
-6.503906250000000000e+01,-1.727595160949916817e+02
-6.500000000000000000e+01,-1.727247944514076039e+02
-6.496093750000000000e+01,-1.727939371677633176e+02
-6.492187500000000000e+01,-1.728607665383754011e+02
-6.488281250000000000e+01,-1.728612089412445414e+02
-6.484375000000000000e+01,-1.728451433084642019e+02
-6.480468750000000000e+01,-1.728862900286692366e+02
-6.476562500000000000e+01,-1.729511559977795798e+02
-6.472656250000000000e+01,-1.729698491074192361e+02
-6.468750000000000000e+01,-1.730035594802384367e+02
-6.464843750000000000e+01,-1.731292304443314833e+02
-6.460937500000000000e+01,-1.732672250417783459e+02
-6.457031250000000000e+01,-1.733362224779571648e+02
-6.453125000000000000e+01,-1.733614600613519485e+02
-6.449218750000000000e+01,-1.733290788218512546e+02
-6.445312500000000000e+01,-1.732553087152350884e+02
-6.441406250000000000e+01,-1.732566572562092517e+02
-6.437500000000000000e+01,-1.733614632450819499e+02
-6.433593750000000000e+01,-1.735015888880122930e+02
-6.429687500000000000e+01,-1.736280013298925837e+02
-6.425781250000000000e+01,-1.737001878546035982e+02
-6.421875000000000000e+01,-1.736787724671719957e+02
-6.417968750000000000e+01,-1.735540242311745942e+02
-6.414062500000000000e+01,-1.734204483288275185e+02
-6.410156250000000000e+01,-1.733883498245771477e+02
-6.406250000000000000e+01,-1.734633750102165379e+02
-6.402343750000000000e+01,-1.736695890052561424e+02
-6.398437500000000000e+01,-1.739446808673515079e+02
-6.394531250000000000e+01,-1.740332511259221349e+02
-6.390625000000000000e+01,-1.739142073086428013e+02
-6.386718750000000000e+01,-1.738078529465798567e+02
-6.382812500000000000e+01,-1.737769424829072307e+02
-6.378906250000000000e+01,-1.737913574466642217e+02
-6.375000000000000000e+01,-1.738452204523369460e+02
-6.371093750000000000e+01,-1.739136313068844686e+02
-6.367187500000000000e+01,-1.739593218406583333e+02
-6.363281250000000000e+01,-1.739684583024254323e+02
-6.359375000000000000e+01,-1.739569953065427228e+02
-6.355468750000000000e+01,-1.739514251341018394e+02
-6.351562500000000000e+01,-1.739618027912959803e+02
-6.347656250000000000e+01,-1.739992079638458904e+02
-6.343750000000000000e+01,-1.740879583296400597e+02
-6.339843750000000000e+01,-1.742223719223074170e+02
-6.335937500000000000e+01,-1.743553472653745757e+02
-6.332031250000000000e+01,-1.744258598531467896e+02
-6.328125000000000000e+01,-1.744446069347914090e+02
-6.324218750000000000e+01,-1.744992530182418591e+02
-6.320312500000000000e+01,-1.746188356247876072e+02
-6.316406250000000000e+01,-1.747590918010337191e+02
-6.312500000000000000e+01,-1.748252890244527009e+02
-6.308593750000000000e+01,-1.747670823129724340e+02
-6.304687500000000000e+01,-1.747416538164004010e+02
-6.300781250000000000e+01,-1.748660141149485412e+02
-6.296875000000000000e+01,-1.749564888541763139e+02
-6.292968750000000000e+01,-1.748576088498963372e+02
-6.289062500000000000e+01,-1.747508566057545067e+02
-6.285156250000000000e+01,-1.748040169664623988e+02
-6.281250000000000000e+01,-1.749352529594112582e+02
-6.277343750000000000e+01,-1.750318856752423358e+02
-6.273437500000000000e+01,-1.750966164618088783e+02
-6.269531250000000000e+01,-1.751411850673516710e+02
-6.265625000000000000e+01,-1.751495488915969929e+02
-6.261718750000000000e+01,-1.751328551463749363e+02
-6.257812500000000000e+01,-1.751368535271759868e+02
-6.253906250000000000e+01,-1.751835540857900924e+02
-6.250000000000000000e+01,-1.752462650557106940e+02
-6.246093750000000000e+01,-1.753007278515288476e+02
-6.242187500000000000e+01,-1.753487358942583967e+02
-6.238281250000000000e+01,-1.754211682505774661e+02
-6.234375000000000000e+01,-1.755215032611482968e+02
-6.230468750000000000e+01,-1.755869547497112535e+02
-6.226562500000000000e+01,-1.756344743844786933e+02
-6.222656250000000000e+01,-1.757372907677537910e+02
-6.218750000000000000e+01,-1.758051674037370731e+02
-6.214843750000000000e+01,-1.757005247780611796e+02
-6.210937500000000000e+01,-1.755290737567115116e+02
-6.207031250000000000e+01,-1.755185446479703728e+02
-6.203125000000000000e+01,-1.757094417342488555e+02
-6.199218750000000000e+01,-1.759244844845955242e+02
-6.195312500000000000e+01,-1.760171247006990995e+02
-6.191406250000000000e+01,-1.760145966854960591e+02
-6.187500000000000000e+01,-1.759734153194129647e+02
-6.183593750000000000e+01,-1.759074434557956863e+02
-6.179687500000000000e+01,-1.758791818071518378e+02
-6.175781250000000000e+01,-1.759911449014394691e+02
-6.171875000000000000e+01,-1.762011031549969857e+02
-6.167968750000000000e+01,-1.763264383861911142e+02
-6.164062500000000000e+01,-1.763355933115921914e+02
-6.160156250000000000e+01,-1.763484088857956351e+02
-6.156250000000000000e+01,-1.764104652536960884e+02
-6.152343750000000000e+01,-1.764609057693199361e+02
-6.148437500000000000e+01,-1.764211282768733042e+02
-6.144531250000000000e+01,-1.763326613262272531e+02
-6.140625000000000000e+01,-1.763043972076793580e+02
-6.136718750000000000e+01,-1.763293936692274997e+02
-6.132812500000000000e+01,-1.763428528627410401e+02
-6.128906250000000000e+01,-1.763543258387389585e+02
-6.125000000000000000e+01,-1.763860428033021890e+02
-6.121093750000000000e+01,-1.764260463324497152e+02
-6.117187500000000000e+01,-1.764404430255551404e+02
-6.113281250000000000e+01,-1.764151638691188566e+02
-6.109375000000000000e+01,-1.764337492890395538e+02
-6.105468750000000000e+01,-1.765344306237608691e+02
